Date,County,Count,Deaths
3/1/2020,Barnstable,0,
3/1/2020,Berkshire,0,
3/1/2020,Bristol,0,
3/1/2020,Dukes,0,
3/1/2020,Essex,0,
3/1/2020,Franklin,0,
3/1/2020,Hampden,0,
3/1/2020,Hampden,0,
3/1/2020,Hampshire,0,
3/1/2020,Middlesex,0,
3/1/2020,Nantucket,0,
3/1/2020,Norfolk,0,
3/1/2020,Plymouth,0,
3/1/2020,Suffolk,1,
3/1/2020,Unknown,0,
3/1/2020,Worcester,0,
3/2/2020,Barnstable,0,
3/2/2020,Berkshire,0,
3/2/2020,Bristol,0,
3/2/2020,Dukes,0,
3/2/2020,Essex,0,
3/2/2020,Franklin,0,
3/2/2020,Hampden,0,
3/2/2020,Hampshire,0,
3/2/2020,Middlesex,0,
3/2/2020,Nantucket,0,
3/2/2020,Norfolk,1,
3/2/2020,Plymouth,0,
3/2/2020,Suffolk,1,
3/2/2020,Unknown,0,
3/2/2020,Worcester,0,
3/3/2020,Barnstable,0,
3/3/2020,Berkshire,0,
3/3/2020,Bristol,0,
3/3/2020,Dukes,0,
3/3/2020,Essex,0,
3/3/2020,Franklin,0,
3/3/2020,Hampden,0,
3/3/2020,Hampshire,0,
3/3/2020,Middlesex,0,
3/3/2020,Nantucket,0,
3/3/2020,Norfolk,1,
3/3/2020,Plymouth,0,
3/3/2020,Suffolk,1,
3/3/2020,Unknown,0,
3/3/2020,Worcester,0,
3/4/2020,Barnstable,0,
3/4/2020,Berkshire,0,
3/4/2020,Bristol,0,
3/4/2020,Dukes,0,
3/4/2020,Essex,0,
3/4/2020,Franklin,0,
3/4/2020,Hampden,0,
3/4/2020,Hampden,0,
3/4/2020,Hampshire,0,
3/4/2020,Middlesex,0,
3/4/2020,Nantucket,0,
3/4/2020,Norfolk,1,
3/4/2020,Plymouth,0,
3/4/2020,Suffolk,1,
3/4/2020,Unknown,0,
3/4/2020,Worcester,0,
3/5/2020,Barnstable,0,
3/5/2020,Berkshire,0,
3/5/2020,Bristol,0,
3/5/2020,Dukes,0,
3/5/2020,Essex,0,
3/5/2020,Franklin,0,
3/5/2020,Hampden,0,
3/5/2020,Hampshire,0,
3/5/2020,Middlesex,1,
3/5/2020,Nantucket,0,
3/5/2020,Norfolk,1,
3/5/2020,Plymouth,0,
3/5/2020,Suffolk,1,
3/5/2020,Unknown,0,
3/5/2020,Worcester,0,
3/6/2020,Barnstable,0,
3/6/2020,Berkshire,0,
3/6/2020,Bristol,0,
3/6/2020,Dukes,0,
3/6/2020,Essex,0,
3/6/2020,Franklin,0,
3/6/2020,Hampden,0,
3/6/2020,Hampshire,0,
3/6/2020,Middlesex,1,
3/6/2020,Nantucket,0,
3/6/2020,Norfolk,3,
3/6/2020,Plymouth,0,
3/6/2020,Suffolk,4,
3/6/2020,Unknown,0,
3/6/2020,Worcester,0,
3/7/2020,Barnstable,0,
3/7/2020,Berkshire,1,
3/7/2020,Bristol,0,
3/7/2020,Dukes,0,
3/7/2020,Essex,0,
3/7/2020,Franklin,0,
3/7/2020,Hampden,0,
3/7/2020,Hampshire,0,
3/7/2020,Middlesex,5,
3/7/2020,Nantucket,0,
3/7/2020,Norfolk,3,
3/7/2020,Plymouth,0,
3/7/2020,Suffolk,4,
3/7/2020,Unknown,0,
3/7/2020,Worcester,0,
3/8/2020,Barnstable,0,
3/8/2020,Berkshire,1,
3/8/2020,Bristol,0,
3/8/2020,Dukes,0,
3/8/2020,Essex,0,
3/8/2020,Franklin,0,
3/8/2020,Hampden,0,
3/8/2020,Hampshire,0,
3/8/2020,Middlesex,10,
3/8/2020,Nantucket,0,
3/8/2020,Norfolk,7,
3/8/2020,Plymouth,0,
3/8/2020,Suffolk,9,
3/8/2020,Unknown,0,
3/8/2020,Worcester,0,
3/9/2020,Barnstable,0,
3/9/2020,Berkshire,5,
3/9/2020,Bristol,0,
3/9/2020,Dukes,0,
3/9/2020,Essex,0,
3/9/2020,Franklin,0,
3/9/2020,Hampden,0,
3/9/2020,Hampshire,0,
3/9/2020,Middlesex,15,
3/9/2020,Nantucket,0,
3/9/2020,Norfolk,10,
3/9/2020,Plymouth,0,
3/9/2020,Suffolk,10,
3/9/2020,Unknown,0,
3/9/2020,Worcester,1,
3/10/2020,Barnstable,0,
3/10/2020,Berkshire,7,
3/10/2020,Bristol,0,
3/10/2020,Dukes,0,
3/10/2020,Essex,1,
3/10/2020,Franklin,0,
3/10/2020,Hampden,0,
3/10/2020,Hampshire,0,
3/10/2020,Middlesex,41,
3/10/2020,Nantucket,0,
3/10/2020,Norfolk,22,
3/10/2020,Plymouth,0,
3/10/2020,Suffolk,20,
3/10/2020,Unknown,0,
3/10/2020,Worcester,1,
3/11/2020,Barnstable,0,
3/11/2020,Berkshire,7,
3/11/2020,Bristol,0,
3/11/2020,Dukes,0,
3/11/2020,Essex,1,
3/11/2020,Franklin,0,
3/11/2020,Hampden,0,
3/11/2020,Hampshire,0,
3/11/2020,Middlesex,44,
3/11/2020,Nantucket,0,
3/11/2020,Norfolk,23,
3/11/2020,Plymouth,0,
